module_count,current_filename_date_batch,metric,n_configurations,mean,sample_SD_across_configurations,minimum,maximum,CV_percent,SD_meaning
1,ALL,I_sum_mA,4,18.325,0.1112055154507485148712833307,18.16,18.4,0.6068513803587913499115052153,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,ALL,P_source_output_estimate_mW,4,60.115185,0.3698292656077936728865776093,59.56480,60.3520,0.6152010770786011435988720808,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,ALL,T_teensy_C,4,42.225,0.9178779875342909649245859759,41.7,43.6,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,ALL,T_regulator_C,4,28.925,0.15,28.7,29.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04,I_sum_mA,2,18.28,0.1697056274847714058562026469,18.16,18.4,0.9283677652339792442899488342,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04,P_source_output_estimate_mW,2,59.9584,0.5566344581500502112083446818,59.56480,60.3520,0.9283677652339792442899488342,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04,T_teensy_C,2,42.7,1.272792206135785543921519852,41.8,43.6,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04,T_regulator_C,2,29,0.0,29.0,29.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04;2026-09-05,I_sum_mA,2,18.37,0.01414213562373095048801688724,18.36,18.38,0.07698495168062575115959111181,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04;2026-09-05,P_source_output_estimate_mW,2,60.27197,0.04640034698146124855118340704,60.23916,60.30478,0.07698495168062575115959111182,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04;2026-09-05,T_teensy_C,2,41.75,0.07071067811865475244008443621,41.7,41.8,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
1,2026-09-04;2026-09-05,T_regulator_C,2,28.85,0.2121320343559642573202533086,28.7,29.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,ALL,I_sum_mA,6,36.26333333333333333333333333,0.2651178354367481378156202331,35.907,36.561,0.7310906391306594479702736459,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,ALL,P_source_output_estimate_mW,6,118.9073383333333333333333333,0.8483850356734651096321562372,117.739053,119.846958,0.7134841697450030744237830997,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,ALL,T_teensy_C,6,42.68333333333333333333333333,0.2316606713852540544489875457,42.5,43.1,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,ALL,T_regulator_C,6,29.1,0.1788854381999831757127338935,28.8,29.3,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,ALL,prediction_residual_percent,6,-1.055634741096554328299754801,0.5200712578638345246803011087,-1.786105032822757111597374179,-0.5954323001631321370309951060,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-05,I_sum_mA,2,36.275,0.3662813126546316176396373796,36.016,36.534,1.009734838469005148558614417,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-05,P_source_output_estimate_mW,2,118.981741,1.150102108532107682962729347,118.168496,119.794986,0.9666206754632273223861544831,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-05,T_teensy_C,2,42.85,0.3535533905932737622004221811,42.6,43.1,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-05,T_regulator_C,2,29.1,0.1414213562373095048801688724,29.0,29.2,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-05,prediction_residual_percent,2,-1.024421788276803098010557393,0.5792945350581715469156411778,-1.434044882320744389709906951,-0.6147986942328618063112078346,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-07,I_sum_mA,4,36.2575,0.2688661376968100086818590543,35.907,36.561,0.7415462668325450146365829257,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-07,P_source_output_estimate_mW,4,118.870137,0.8678409442023348093836078705,117.739053,119.846958,0.7300748245981535374049479479,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-07,T_teensy_C,4,42.6,0.1414213562373095048801688724,42.5,42.8,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-07,T_regulator_C,4,29.1,0.2160246899469286743655322479,28.8,29.3,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
2,2026-09-07,prediction_residual_percent,4,-1.071241217506429943444353505,0.5813391616663798917390557259,-1.786105032822757111597374179,-0.5954323001631321370309951060,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,ALL,I_sum_mA,4,54.40525,0.3370621851627184040834918750,54.130,54.851,0.6195398149309458261537110389,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,ALL,P_source_output_estimate_mW,4,178.24513875,1.091282915067513553529536344,177.329880,179.691876,0.6122371261962472755120432949,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,ALL,T_teensy_C,4,42.775,0.1707825127659933063870173113,42.6,43.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,ALL,T_regulator_C,4,29.975,0.6849574196011505843002516932,29.2,30.6,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,ALL,prediction_residual_percent,4,-1.036833242026391889542800920,0.4644189102898212836760110712,-1.438455935906773488710852149,-0.5241204207471889735219441422,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-05,I_sum_mA,2,54.666,0.2616295090390225840283124140,54.481,54.851,0.4785964018567712728721918816,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-05,P_source_output_estimate_mW,2,179.085816,0.8570982716118379852767514682,178.479756,179.691876,0.4785964018567712728721918816,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-05,T_teensy_C,2,42.9,0.1414213562373095048801688724,42.8,43.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-05,T_regulator_C,2,30.55,0.07071067811865475244008443621,30.5,30.6,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-05,prediction_residual_percent,2,-0.6436631247633941224622471166,0.1690589133024699803944182855,-0.7632058287795992714025500911,-0.5241204207471889735219441422,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-07,I_sum_mA,2,54.1445,0.02050609665440987820762448650,54.130,54.159,0.03787290796740181958947720729,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-07,P_source_output_estimate_mW,2,177.4044615,0.1054741688021289883822031476,177.329880,177.479043,0.05945406778968125803431564070,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-07,T_teensy_C,2,42.65,0.07071067811865475244008443621,42.6,42.7,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-07,T_regulator_C,2,29.4,0.2828427124746190097603377448,29.2,29.6,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
3,2026-09-07,prediction_residual_percent,2,-1.430003359289389656623354724,0.01195374848930191478323246291,-1.438455935906773488710852149,-1.421550782672005824535857299,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,ALL,I_sum_mA,1,72.513,,72.513,72.513,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,ALL,P_source_output_estimate_mW,1,237.407562,,237.407562,237.407562,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,ALL,T_teensy_C,1,42,,42.0,42.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,ALL,T_regulator_C,1,31,,31.0,31.0,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,ALL,prediction_residual_percent,1,-1.073669849931787175989085948,,-1.073669849931787175989085948,-1.073669849931787175989085948,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,2026-09-05,I_sum_mA,1,72.513,,72.513,72.513,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
4,2026-09-05,P_source_output_estimate_mW,1,237.407562,,237.407562,237.407562,,Across different configurations; not repeatability; modules shared; batch/configuration confounded
