run_id,module_count,module_id,V_source_avg_V,V_module_avg_V,V_module_min_V,V_module_max_V,voltage_drop_avg_V,voltage_drop_percent,I_module_avg_mA,I_module_min_mA,I_module_max_mA,module_power_mW,T_stm32_C
PS01_N1_F200_ZERO_M0_R1,1,Module0,3.281,3.267,3.266,3.267,0.014,0.42669917708,8.13,8.112,14.5,26.56071,26.1
PS01_N1_F200_ZERO_M1_R1,1,Module1,3.281,3.271,3.27,3.271,0.01,0.304785126486,8.119,8.112,15.98,26.557249,25.9
PS01_N1_F200_ZERO_M2_R1,1,Module2,3.281,3.267,3.266,3.267,0.014,0.42669917708,8.988,8.866,16.99,29.363796,25.9
PS01_N1_F200_ZERO_M3_R1,1,Module3,3.281,3.265,3.264,3.266,0.016,0.487656202377,8.174,8.031,16.3,26.68811,25.9
PS01_N2_F200_ZERO_R1,2,Module0,3.28,3.263,3.262,3.264,0.017,0.518292682927,8.086,8.081,16.19,26.384618,25.9
PS01_N2_F200_ZERO_R1,2,Module1,3.28,3.269,3.268,3.27,0.011,0.335365853659,8.181,8.157,16.21,26.743689,26.1
PS01_N3_F200_ZERO_R1,3,Module0,3.279,3.263,3.262,3.264,0.016,0.487953644404,8.206,8.085,15.39,26.776178,26.3
PS01_N3_F200_ZERO_R1,3,Module1,3.279,3.268,3.268,3.269,0.011,0.335468130528,8.098,8.087,16.38,26.464264,25.9
PS01_N3_F200_ZERO_R1,3,Module2,3.279,3.265,3.264,3.266,0.014,0.426959438853,8.875,8.607,16.76,28.976875,25.3
PS01_N4_F200_ZERO_R1,4,Module0,3.278,3.26,3.259,3.262,0.018,0.549115314216,8.183,7.96,15.98,26.67658,
PS01_N4_F200_ZERO_R1,4,Module1,3.278,3.266,3.265,3.267,0.012,0.366076876144,8.189,8.16,16.23,26.745274,
PS01_N4_F200_ZERO_R1,4,Module2,3.278,3.264,3.263,3.266,0.014,0.427089688835,8.28,8.233,16.07,27.02592,
PS01_N4_F200_ZERO_R1,4,Module3,3.278,3.261,3.259,3.262,0.017,0.518608907871,7.84,7.675,15.94,25.56624,
PS01_N2_F200_ZERO_M2_M3_R1,2,Module2,3.28,3.266,3.266,3.267,0.014,0.426829268293,8.808,8.707,,28.766928,25.9
PS01_N2_F200_ZERO_M2_M3_R1,2,Module3,3.28,3.266,3.265,3.267,0.014,0.426829268293,7.838,7.673,,25.598908,25.9
PS01_N3_F200_ZERO_M1_M2_M3_R1,3,Module1,3.279,3.268,3.267,3.268,0.011,0.335468130528,8.359,8.142,16.39,27.317212,25.9
PS01_N3_F200_ZERO_M1_M2_M3_R1,3,Module2,3.279,3.265,3.264,3.266,0.014,0.426959438853,8.79,8.732,15.09,28.69935,25.9
PS01_N3_F200_ZERO_M1_M2_M3_R1,3,Module3,3.279,3.265,3.264,3.266,0.014,0.426959438853,7.761,7.596,14.97,25.339665,25.9
